Intent	Question	Answer
id_fact_college	Did you go to college? <-> Where did you go to college? <-> Did you finish it? <-> Who shortly attended the Reed College in 1972? <-> When did I shortly attend the Reed College? <-> What did I shortly attend in 1972? <-> Did I shortly attend the Reed College in 1972? <-> Who dropped out? <-> Did I drop out?	I shortly attended the Reed College in 1972 but I dropped out.
story_places_india	Have you ever been in India? <-> Why did you go in India? <-> Did you study Buddhism? <-> Who decided to travel through India?\tIn 1974 <-> What did I decide to travel through?\tIn 1974 <-> Did I decide to travel through India?\tIn 1974	In 1974, I decided to travel through India, seeking enlightenment and studying Zen Buddhism.
story_spiritual_lsd	What is your opinion of LSD? <-> What do you think about LSD? <-> Have you tried LSD? <-> What was LSD I did in my life? <-> What was LSD one of I did in my life? <-> Who was LSD one of the two or three most important things did in my life? <-> What was LSD one of the two or three most important things I did in? <-> What was one of the two or three most important things I did in my life? <-> Was LSD one of the two or three most important things I did in my life? <-> What was LSD one of the two or three most important things in?	LSD was one of the two or three most important things I did in my life.
story_work_apple_founded	When did you found Apple? <-> Who founded Apple? <-> Did you found Apple alone? <-> Who founded Apple in 1976? <-> When did Wozniak and I found Apple? <-> Who did Wozniak and I found in 1976? <-> Did Wozniak and I found Apple in 1976?	Wozniak and I founded Apple in 1976.
story_work_apple_foundingfame	When did you become famous? <-> When did you become successful? <-> How did you become famous? <-> What happened when the Apple II launched? <-> Who became famous and wealthy in 1977? <-> When did Woz and I become famous and wealthy? <-> Did Woz and I become famous and wealthy in 1977?	Woz and I became famous and wealthy in 1977, when we started mass production of the Apple II personal computer.
story_work_apple_xeroxalto	Did you visit PARC? <-> What happened at PARC. <-> When did you see the Xerox Alto? <-> Where did you get the idea of the mouse from? <-> How did you come up with the idea of the mouse? <-> Where did you get the idea of graphical user interfaces from? <-> How did you come up with the idea of the graphical user interface? <-> What was the Xerox Alto?\tI saw the Xerox Alto <-> When did I take a tour of PARC?\tIn 1979 I took a tour of PARC.\tin 1979\t1.6510800461045028 <-> Who took a tour of PARC in 1979?\tIn 1979 I took a tour of PARC.\tI\t1.6020133844118059 <-> Who saw the Xerox Alto?\tI saw the Xerox Alto <-> What did I take a tour of in 1979?\tIn 1979 I took a tour of PARC.\tof PARC\t1.324133515371837 <-> Who was it's mouse and graphical user interface?\tI saw the Xerox Alto <-> What did I take in 1979?\tIn 1979 I took a tour of PARC.\ta tour of PARC\t1.1992373122052244 <-> Who did I see?\tI saw the Xerox Alto <-> Who recognized their commercial potential?\tI saw the Xerox Alto <-> What did I recognize?\tI saw the Xerox Alto <-> Did I see the Xerox Alto?\tI saw the Xerox Alto <-> Did I take a tour of PARC in 1979?\tIn 1979 I took a tour of PARC.\t\t0.4689585503981051 <-> Was the Xerox Alto it's mouse and graphical user interface?\tI saw the Xerox Alto <-> Did I recognize their commercial potential?\tI saw the Xerox Alto	In 1979 I took a tour of PARC. I saw the Xerox Alto, mouse and graphical user interface, and I recognised their commercial potential.
story_work_apple_lisa	Have you ever failed? <-> Did you have unsuccessful projects? <-> How many Apple projects failed? <-> When did you fail for the first time? <-> What was Apple Lisa in 1983? <-> When was Apple Lisa our first unsuccessful project? <-> Who was our first unsuccessful project in 1983? <-> Was Apple Lisa our first unsuccessful project in 1983?	Apple Lisa was our first unsuccessful project in 1983.
story_work_apple_macintosh	What was your breakthrough? <-> What was your first success? <-> What was your first successful project? <-> When was the breakthrough with Apple? <-> When did you develop the Macintosh? <-> When did you build the Macintosh? <-> What was Macintosh in 1984? <-> When was Macintosh our breakthrough? <-> What was our breakthrough in 1984? <-> Was Macintosh our breakthrough in 1984?	Our breakthrough was Macintosh in 1984.
story_work_applemacintoshgui	What was the Macintosh? <-> Why was the Mac successful? <-> When did the Apple Macintosh introduce the sudden rise of the desktop publishing industry? <-> What was the first mass-produced computer with a graphical user interface? <-> What did the Apple Macintosh introduce the sudden rise of in 1985? <-> What introduced the sudden rise of the desktop publishing industry in 1985? <-> What did the Apple Macintosh introduce in 1985? <-> What was the Apple Macintosh? <-> Was the Apple Macintosh the first mass-produced computer with a graphical user interface? <-> Did the Apple Macintosh introduce the sudden rise of the desktop publishing industry in 1985? <-> When did it introduce the sudden rise of the desktop publishing industry? <-> What did it introduce the sudden rise of in 1985? <-> What did it introduce in 1985? <-> Did it introduce the sudden rise of the desktop publishing industry in 1985?	The Apple Macintosh was the first mass-produced computer with a graphical user interface. It introduced the sudden rise of the desktop publishing industry in 1985.
story_work_apple_laserwriter	What is the LaserWriter? <-> Did you invent any print technology? <-> What was the Apple LaserWriter? <-> Who was the first laser printer? <-> Who invented the Apple LaserWriter to feature vector graphics? <-> What did we invent the Apple LaserWriter to feature? <-> Who did we invent to feature vector graphics? <-> Was the Apple LaserWriter the first laser printer? <-> Did we invent the Apple LaserWriter to feature vector graphics?	We invented the Apple LaserWriter, the first laser printer to feature vector graphics.
story_work_apple_leaving	When were you fired from Apple? <-> When did you leave Apple? <-> Were you ever fired? <-> Who was forced to leave Apple in 1985 after a long power struggle? <-> What was I forced to leave Apple in 1985 after? <-> Was I forced to leave Apple in 1985 after a long power struggle?	After a long power struggle, I was forced to leave Apple in 1985.
story_work_next_start	Who founded NeXT? <-> What was NeXT? <-> What was a state-of-the-art computer for higher education and business markets? <-> What was NeXT for higher education and business markets? <-> What was NeXT a state-of-the-art computer for? <-> Who left Apple with a few of my colleagues? <-> Was NeXT a state-of-the-art computer for higher education and business markets? <-> Who did I leave with a few of my colleagues? <-> What did I leave Apple with? <-> Who founded NeXT? <-> What did I found? <-> Did I leave Apple with a few of my colleagues? <-> Did I found NeXT?	In 1985, I left Apple with a few of my colleagues and founded NeXT. NeXT was a state-of-the-art computer for higher education and business markets.
story_work_pixar_start	When did you get involved with Pixar? <-> Did you fund Pixar? <-> When did I fund the spinout of the computer graphics division of George Lucas's Lucasfilm? <-> What was Pixar? <-> Who funded the spinout of the computer graphics division of George Lucas's Lucasfilm in 1986? <-> Who was the new company name? <-> What did I fund the spinout of in 1986? <-> Who did I fund in 1986? <-> Was the new company name Pixar? <-> Did I fund the spinout of the computer graphics division of George Lucas's Lucasfilm in 1986?	In 1986 I funded the spinout of the computer graphics division of George Lucas's Lucasfilm. The new company name was Pixar.
story_work_pixar_toystory	What was the first computer-animated film that Pixar made? <-> What is Toy Story? <-> Who was the first film that Pixar fully computer animated? <-> What was Toy Story that Pixar fully computer animated? <-> What was Toy Story the first film? <-> Was Toy Story the first film that Pixar fully computer animated?	Toy Story was the first film that Pixar fully computer animated.
story_work_pixar_toystorymoney	Did you finance the creation of Toy Story? <-> Did you help Pixar to make Toy Story? <-> Did you finance Pixar's film Toy Story? <-> Who helped Pixar to produce Toy Story? <-> What did I help Pixar to produce? <-> Did I help Pixar to produce Toy Story?	I helped Pixar to produce Toy Story, by offering financial support
story_work_next_applemerge	When did Apple merge with NeXT? <-> When did Apple merge with NeXT? <-> What merged with NeXT in 1997? <-> What did Apple merge with in 1997? <-> Did Apple merge with NeXT in 1997?	In 1997, Apple merged with NeXT.
story_work_apple_comeback	When did you become CEO of Apple? <-> What had merged with Apple? <-> What had the NeXT merged with? <-> Had the NeXT merged with Apple? <-> Who became the CEO of Apple? <-> What did I become the CEO of? <-> Who did I become? <-> Did I become the CEO of Apple?	A few months after the NeXT had merged with Apple, I became the CEO of Apple.
story_work_apple_bankruptcy	What was the first thing you did as the CEO of Apple? <-> What was to save it from the bankrupcy? <-> Was the first thing I did as the Apple CEO to save it from the bankrupcy?	The first thing I did as the Apple CEO was to save it from the bankrupcy.
story_work_apple_thinkdiferent	When did you launch your campaign "Think different"? <-> What was the name of your first advertising campaign in Apple? <-> When did we launch the ``Think different'' advertising campaign for Apple? <-> Who launched the ``Think different'' advertising campaign for Apple in 1997? <-> What did we launch in 1997? <-> Did we launch the ``Think different'' advertising campaign for Apple in 1997?	In 1997 we launched the "Think different" advertising campaign for Apple.
story_work_apple_workwithive	Who helped you to develop all these easy to use products? <-> Who was Jonathan Ive? <-> What were the main characteristics of your products? <-> What did you and Jonathan Ive develop? <-> Who worked closely with Jonathan Ive to develop a line of products?\tI worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications <-> What did I work closely with Jonathan Ive to develop?\tI worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications <-> What did I work closely with Jonathan Ive to develop a line of?\tI worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications <-> Who did I work closely with to develop a line of products?\tI worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications <-> Did I work closely with Jonathan Ive to develop a line of products?\tI worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications	I worked closely with Jonathan Ive to develop a line of products that would have larger cultural ramifications, such as the iMac, iPod, iPhone and the iPad.
story_work_apple_macosx	When did you replace Mac OS with Mac OS X? <-> What is Mac OS X based on? <-> What system does Mac OS X use? <-> What was the completely new Mac OS X based on?\tIn 2001 <-> What was based on NeXT's NeXT STEP platform?\tIn 2001 <-> What did we replace with a completely new Mac OS X with a modern Unix-based foundation in 2001?\tIn 2001 <-> What did we replace the original Mac OS with with a modern Unix-based foundation in 2001?\tIn 2001 <-> When did we replace the original Mac OS with a completely new Mac OS X with a modern Unix-based foundation?\tIn 2001 <-> Was the completely new Mac OS X based on NeXT's NeXT STEP platform?\tIn 2001 <-> What did we replace the original Mac OS with a completely new Mac OS X with in 2001?\tIn 2001 <-> Who replaced the original Mac OS with a completely new Mac OS X with a modern Unix-based foundation in 2001?\tIn 2001 <-> Did we replace the original Mac OS with a completely new Mac OS X with a modern Unix-based foundation in 2001?\tIn 2001	In 2001, we replaced the original Mac OS with a completely new Mac OS X, based on NeXT's NeXT STEP platform, with a modern Unix-based foundation.
story_health_cancer_diag	When were you diagnosed with a tumor? <-> What type of tumor have you been diagnosed with? <-> When was I diagnosed with a pacreatic neuroendocrine tumor? <-> Who was diagnosed with a pacreatic neuroendocrine tumor in 2003? <-> What was I diagnosed with in 2003? <-> Was I diagnosed with a pacreatic neuroendocrine tumor in 2003?	In 2003 I was diagnosed with a pancreatic neuroendocrine tumor.
story_health_cancer_death	When did you die? <-> How did you die? <-> What had spread out to the lungs? <-> What had the cancer spread out to? <-> When did I die of respiratory arrest on the 5th of October? <-> When did I die of respiratory arrest in 2011? <-> Who died of respiratory arrest on the 5th of October in 2011? <-> Had the cancer spread out to the lungs? <-> What did I die of on the 5th of October in 2011? <-> Did I die of respiratory arrest on the 5th of October in 2011?	Cancer had spread out to the lungs and I died of respiratory arrest on the 5th of October in 2011.
story_family_biologicalfather	Who was your biological father? <-> What was your biological father's given name? <-> What was his nickname? <-> Who was Abdulfattah Jandali also known as John? <-> Who was my biological father Abdulfattah Jandali also known as? <-> Who was my biological father also known as John? <-> Was my biological father Abdulfattah Jandali also known as John? <-> Who was my biological father as?	My biological father was Abdulfattah Jandali also known as John
story_family_biologicalgrandfather	Who was your grandfather? <-> Who was your grandmother? <-> Who were your grandparents? <-> Do you know anything about your grandparents? <-> Do you know your grandparents? <-> Who was a self-made millionaire who did not go to college? <-> Who was a traditional housewife? <-> Who was my grandmother? <-> Who was my grandfather on my biological father's side? <-> Was my grandfather on my biological father's side a self-made millionaire who did not go to college? <-> Was my grandmother a traditional housewife?	My grandfather on my biological father's side was a self-made millionaire who did not go to college. My grandmother was a traditional housewife.
story_family_biologicalfather_student	What university did you father attend? <-> Has your father been politically active during his studies? <-> Who spent time in jail for his political activities? <-> When did he spend in jail for his political activities? <-> What did he spend time in? <-> Who was a student activist? <-> Who was he? <-> Was he a student activist? <-> Did he spend time in jail for his political activities?	During his studies at the American University of Beirut, he was a student activist and spent time in jail for his political activities. <->
story_family_biologicalfather_studies	What did your father Jandali study? <-> What did he want to study? <-> Did he pursue a Ph.D.? <-> Where did he pursue the Ph.D.? <-> Who even pursued a PhD at the University of Wisconsin? <-> Who wanted to study law? <-> What did he even pursue? <-> Who ended up studying economics and political science? <-> What did my biological father want to study? <-> What did he end up studying? <-> Did he even pursue a PhD at the University of Wisconsin? <-> Did he end up studying economics and political science? <-> Did my biological father want to study law?	Although my biological father wanted to study law, he ended up studying economics and political science and he even pursued a Ph.D. at the University of Wisconsin
story_family_biologicalmother_father	Where did you father Jandali meet your mother Clara? <-> What was your mother's name? <-> How did your parents meet? <-> What did my biological father meet my mother Joanne Carole Schieble at? <-> Who did my biological father meet at the University of Wisconsin? <-> Who met my mother Joanne Carole Schieble at the University of Wisconsin? <-> Who took a course that my father was teaching as an Assistant? <-> What did she take that my father was teaching as an Assistant? <-> Who did she take a course that my father was teaching as? <-> Who did she take a course as? <-> Did my biological father meet my mother Joanne Carole Schieble at the University of Wisconsin? <-> Did she take a course that my father was teaching as an Assistant?	My biological father met my mother Joanne Carole Schieble at the University of Wisconsin. She took a course that my father was teaching as an Assistant.
story_family_biologicalmother_origin	What is the origin of your mother? <-> Where is your mother from? <-> Where did your mother grow up? <-> Who was a Catholic of Swiss and German descent? <-> Who grew up on a farm in Wisconsin? <-> What was my biological mother a Catholic of? <-> What did she grow up on? <-> Who was my biological mother? <-> Did she grow up on a farm in Wisconsin? <-> Was my biological mother a Catholic of Swiss and German descent?	My biological mother was a Catholic of Swiss and German descent. She grew up on a farm in Wisconsin.
story_family_biologicalmother_parents	Why did your grandparents disapprove the relationship between your father and mother? <-> How did your grandfather react about their relationship? <-> Who was Mona Simpson?\tMy sister <-> Who even threatened my mother to cut her off completely if she continued the relationship?\tMy grandfather even threatened my mother to cut her off completely if she continued the relationship.\tmy grandfather\t0.949925945587764 <-> Who was my sister?\tMy sister <-> Who did my grandfather even threaten to cut her off completely if she continued the relationship?\tMy grandfather even threatened my mother to cut her off completely if she continued the relationship.\tmy mother\t0.884546879185951 <-> Who did my grandfather even threaten my mother to cut off completely if she continued the relationship?\tMy grandfather even threatened my mother to cut her off completely if she continued the relationship.\ther\t0.8743612061800654 <-> Who believed that our grandparents were not been happy that their daughter was dating a Muslim?\tMy sister <-> Was my sister Mona Simpson?\tMy sister <-> Did my sister believe that our grandparents were not been happy that their daughter was dating a Muslim?\tMy sister <-> Did my grandfather even threaten my mother to cut her off completely if she continued the relationship?\tMy grandfather even threatened my mother to cut her off completely if she continued the relationship.\t\t-0.009989885859376324 <-> What did my sister believe?\tMy sister	My sister, Mona Simpson, believed that our grandparents were not happy that their daughter was dating a Muslim. My grandfather even threatened my mother to cut her off completely if she continued the relationship.
other_01	What was the name of your adoptive father? <-> Where did he grow up? <-> What was Paul's father like? <-> Who grew up on a farm in Germantown? <-> Who was Paul Reinhold Jobs? <-> Who was Wisconsin? <-> What was Germantown? <-> What did my adoptive father grow up on in Germantown? <-> What did my adoptive father grow up on a farm in? <-> Who was an alcoholic and sometimes abusive? <-> Was Germantown Wisconsin? <-> Who was my adoptive father? <-> Did my adoptive father grow up on a farm in Germantown? <-> Was my adoptive father Paul Reinhold Jobs? <-> Was his father an alcoholic and sometimes abusive?	My adoptive father was Paul Reinhold Jobs. <-> My adoptive father grew up on a farm in Germantown, Wisconsin.  <-> His father was an alcoholic and sometimes abusive.
other_02	How did your adoptive father look like when he was young? <-> Has your father Paul completed the high school? <-> What did your father Paul do after he dropped out high school? <->	My father Paul was much alike James Dean: he had tattoos, dropped out of high school and traveled around the Midwest for several years during 1930's looking for work. <->
other_03	Has your father Paul been enlisted during the WW II? <-> Where did your father Paul serve the Army during the WW II? <-> What was your adoptive father's job in Coast Guard? <-> How long did your adoptive father stay with the Coast Guard? <-> When did your adoptive father leave the Coast Guard? <-> Who decided to join the US Coast Guard as an engine-room machinist? <-> What docked in San Francisco? <-> Who did my father decide to join the US Coast Guard as? <-> When did he stay at the engine-room machinist? <-> What did my father decide to join as an engine-room machinist? <-> Who stayed until the end of the World War Two at the engine-room machinist? <-> Who did he stay until the end of the World War Two at? <-> Where did his ship dock? <-> Who left the Coast Guard? <-> What did he leave? <-> What did his ship dock in? <-> Did my father decide to join the US Coast Guard as an engine-room machinist? <-> Did he stay until the end of the World War Two at the engine-room machinist? <-> Did his ship dock in San Francisco? <-> Did he leave the Coast Guard?	After traveling around the Midwest looking for work, my father decided to join the US Coast Guard as an engine-room machinist, where he stayed until the end of the World War Two. When his ship docked in San Francisco, he left the Coast Guard.
other_04	How did your adoptive parents meet? <-> My mother's maid name was Clara Hagopian. <-> When did your adoptive parents get married? <-> Who was Clara Hagopian? <-> Who was the girl? <-> Where did my father make a bet with his friends that he would find his wife? <-> Who made a bet with his friends that he would find his wife in San Francisco? <-> What did my father make with his friends that he would find his wife in San Francisco? <-> Who did my father make a bet with his friends that he would find in San Francisco? <-> Who did my father make a bet with that he would find his wife in San Francisco? <-> What did my father make a bet with his friends that he would find his wife in? <-> Who did he go on a blind date with? <-> Was the girl Clara Hagopian? <-> Who went on a blind date with this girl? <-> Who did he go on with this girl? <-> Did my father make a bet with his friends that he would find his wife in San Francisco? <-> Did he go on a blind date with this girl? <-> Where did my father make a bet with his friends? <-> Who got engaged? <-> What got engaged? <-> What did my father make a bet with his friends in? <-> Did they get engaged?	My father Paul made a bet with his friends that he would find his wife in San Francisco. So he went on a blind date with this girl, Clara Hagopian. Ten days later, they got engaged, and then married in 1946.
other_05	When did your parents start living in San Francisco's Sunset District? <-> Who settled in San Francisco's Sunset District in 1952 after a series of moves? <-> When did my parents settle in San Francisco's Sunset District after a series of moves? <-> What did my parents settle in San Francisco's Sunset District in 1952 after? <-> Where did my parents settle in 1952 after a series of moves? <-> What did my parents settle in in 1952 after a series of moves? <-> Did my parents settle in San Francisco's Sunset District in 1952 after a series of moves?	After a series of moves, my parents settled in San Francisco's Sunset District in 1952.
other_06	What was your father's job? <-> What was your father's hobby? <-> What did your father do for living? <-> What was as a repo man?\tHis job was as a repo man <-> What was to rebuild cars?\tHis job was as a repo man <-> Who was his job as?\tHis job was as a repo man <-> Was his job as a repo man?\tHis job was as a repo man <-> Was his hobby to rebuild cars?\tHis job was as a repo man	Paul's job was a repo man, which suited his aggressive, tough personality, but his hobby was to rebuild cars.
other_07	Why did your parents decide to adopt a child? <-> When did your parents decide to adopt a child? <-> What made your parents to decide to adopt a child? <-> Who had? <-> Did my adoptive mother have?	My mother Clara had an ectopic pregnancy which ended their attempts to have children and in 1955 they decided to adopt a child.
other_08	What is your opinion of computers? <-> What do you think is the best tool we have invented? <-> Do you consider yourself lucky to be in Silicon Valley? <-> What does Silicon Valley mean to you? <-> What has taken form at exactly the right place? <-> What is going to rank near or at the top as history unfolds? <-> Where has this invention taken form? <-> When unfolds? <-> What has this invention taken at exactly the right place? <-> Is the computer going to rank near or at the top as history unfolds? <-> What has this invention taken form at? <-> Who feels incredibly lucky to be at exactly the right place? <-> What is the most awesome tool that we have ever invented? <-> Does history unfold? <-> Has this invention taken form at exactly the right place? <-> What is it that we have ever invented? <-> Do I feel incredibly lucky to be at exactly the right place? <-> What is it the most awesome tool? <-> Who look back? <-> Is it the most awesome tool that we have ever invented? <-> Do we look back?	Of all the inventions of humans, the computer is going to rank near or at the top as history unfolds and we look back. It is the most awesome tool that we have ever invented. I feel incredibly lucky to be at exactly the right place in Silicon Valley, at exactly the right time, historically, where this invention has taken form.
other_09	Were your biological parents married when you were conceived? <-> Why did they give you up for the adoption? <-> Why did your grandfather forbid your mother to marry your father? <-> What did 1954 decide to give the baby up for the adoption because of? <-> When did my biological mother get pregnant during a summer she and my father spent in Syria? <-> When decided to give the baby up for the adoption because of that? <-> When did my biological mother get pregnant in 1954 she and my father spent in Syria? <-> Who did they decide to give up for the adoption because of that? <-> Where did my biological mother get pregnant in 1954 during a summer she and my father spent? <-> What did they decide to give the baby up for because of that? <-> What did they decide to give the baby up for the adoption because of? <-> Who decided to give the baby up for the adoption because of that? <-> Who did 1954 decide to give up for the adoption because of that? <-> What decided to give the baby up for the adoption because of that? <-> What did 1954 decide to give the baby up for because of that? <-> Who got pregnant in 1954 during a summer she and my father spent in Syria? <-> What did my biological mother get pregnant in 1954 during a summer she and my father spent in? <-> Who once said that my grandfather forbade her to marry him because he was a Syrian? <-> Who did my biological mother get pregnant in 1954 during a summer spent in Syria? <-> Who once said that he had loved my mother a lot? <-> Who did my father once say that my grandfather forbade her to marry because he was a Syrian? <-> Who did my father once say that my grandfather forbade to marry him because he was a Syrian? <-> Who was a Syrian? <-> Did they decide to give the baby up for the adoption because of that? <-> Where did my biological mother get pregnant in 1954 during a summer? <-> What was he? <-> Did my biological mother get pregnant in 1954 during a summer she and my father spent in Syria? <-> What did my biological mother get pregnant in 1954 during a summer in? <-> Did 1954 decide to give the baby up for the adoption because of that? <-> Did my father once say that he had loved my mother a lot? <-> Did my father once say that my grandfather forbade her to marry him because he was a Syrian? <-> What did my father once say? <-> Was he a Syrian?	My biological mother got pregnant in 1954 during a summer she and my father spent in Syria. My father once said that he had loved my mother a lot but my grandfather forbade her to marry him because he was a Syrian. Because of that, they decided to give the baby up for the adoption.
other_10	What were other reasons that made your mother to give you up for the adoption? <-> What was the public opinion of single mothers back in 1954 in the USA? <-> Why didn't she go for an abortion? <-> Who had been stygmatised while abortions were dangerous and illegal back in 1954 in United States? <-> When had women with child out of wedlock been stygmatised while abortions were dangerous and illegal? <-> Had women with child out of wedlock been stygmatised while abortions were dangerous and illegal back in 1954 in United States? <-> What were dangerous and illegal? <-> Who was dying? <-> Who had also believed that they were too young to marry at age of 23? <-> Were abortions dangerous and illegal? <-> Who did my mother not want to aggravate? <-> Who did not want to aggravate him? <-> Was my grandfather dying? <-> What had she also believed at? <-> Had she also believed that they were too young to marry at age of 23? <-> Did my mother not want to aggravate him?	My grandfather was dying and my mother didn't want to aggravate him. <-> She had also believed that they were too young to marry at age of 23.  <-> Additionally, back in 1954 in the United States women with a child out of wedlock had been stigmatized while abortions were dangerous and illegal.
other_11	Where did your mother deliver you? <-> Did you father know that you were born? <-> Did your mother tell your father that she gave birth to you? <-> Who helped your mother to arrange the adoption? <-> Who arranged your adoption? <->  <-> Where did my biological father say?\tMy biological father said that my mother had gone to San Francisco <-> Who said that my mother had gone to San Francisco <-> What did my biological father say to?\tMy biological father said that my mother had gone to San Francisco	My biological father said that my mother had gone to San Francisco, without telling him or anybody else, gave birth there and had quietly arranged closed adoption with a doctor who was sheltering unwed mothers.
other_12	When were you born? <-> Who did you mother want to give you to at first? <-> Why did the first couple change their mind to adopt you? <-> When changed their mind? <-> Who did 24th 1955 adopt instead? <-> When adopted a girl instead? <-> What did 24th 1955 change? <-> Who delivered me on February 24th 1955? <-> Who did my mother deliver on February 24th 1955? <-> Who wanted to give me to a Catholic, well educated and wealthy couple? <-> Who did she want to give to a Catholic, well educated and wealthy couple? <-> Did 24th 1955 change their mind? <-> When did my mother deliver me? <-> Did 24th 1955 adopt a girl instead? <-> Who changed their mind? <-> Who did they adopt instead? <-> What changed their mind? <-> Who adopted a girl instead? <-> What adopted a girl instead? <-> What did she want to give me to? <-> What did they change? <-> Did my mother deliver me on February 24th 1955? <-> Did she want to give me to a Catholic, well educated and wealthy couple? <-> Did they adopt a girl instead? <-> Did they change their mind?	My mother delivered me on February 24th, 1955. <-> She wanted to give me to a Catholic, well educated and a wealthy couple, but they changed their mind and adopted a girl instead.
